'Kod','Nazev','Obec','Pou','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo'
576719,'Mostecká',552046,,,2013-11-04,,384761,449946,,,
576778,'Na Kopci',552046,,,2011-07-01,,0,0,,,
576794,'Na Rokli',552046,,,2011-07-01,,0,0,,,
576859,'Nad Dolinami',552046,,,2013-10-25,,378903,448188,,,
576930,'Nedbalova',552046,,,2011-07-01,,0,0,,,
576948,'Nerudova',552046,,,2011-07-01,,0,0,,,
577006,'Palackého',552046,,,2013-10-25,,378903,448188,,,
577049,'Pionýrů',552046,,,2013-11-04,,384761,449946,,,
577227,'Purkyňova',552046,,,2013-10-25,,378903,448188,,,
577341,'Sezimovská',552046,,,2011-07-01,,0,0,,,
577391,'Sofijská',552046,,,2011-07-01,,0,0,,,
